id,brand,name,price,quantity
2021,EVGA,SC ULTRA GAMING,1646.40,31
2022,EVGA,XC GAMING,1713.60,25
2023,EVGA,XC ULTRA GAMING,1747.20,71
2024,GALAX,EX,1814.40,97
2025,GALAX,OC V2,1696.80,80
2026,Gigabyte,AORUS,1764.00,81
2027,Gigabyte,GAMING OC,1713.60,24
2028,Gigabyte,GAMING OC 3X,1780.80,13
2029,Gigabyte,GAMING OC 3X WHITE,1713.60,98
2030,Gigabyte,GAMING OC WHITE,1713.60,79
2031,Gigabyte,WINDFORCE OC,1696.80,85
2032,Inno3D,Compact,1730.40,76
2033,Inno3D,Gaming X2 OC,1629.60,49
2034,Inno3D,iChill X3 Ultra,1780.80,42
2035,Inno3D,Twin X2 OC,1612.80,58
2036,Inno3D,Twin X2 OC RGB,1780.80,18
2037,KFA2,(1-Click OC),1680.00,8
2038,KFA2,EX,1646.40,42
2039,MSI,AERO ITX,1646.40,37
2040,MSI,ARMOR,1780.80,79
2041,MSI,ARMOR OC,1596.00,96
2042,MSI,GAMING,1730.40,30
2043,MSI,GAMING X,1764.00,23
2044,MSI,VENTUS,1831.20,67
2045,MSI,VENTUS GP OC,1764.00,14
2046,MSI,VENTUS OC,1831.20,31
2047,NVIDIA,Founders Edition,1629.60,75
2048,Palit,JetStream,1629.60,84
2049,PNY,Blower,1696.80,1
2050,PNY,Dual,1814.40,80
2051,PNY,Dual Gaming OC,1730.40,11
2052,Zotac,AMP,1696.80,41
2053,Zotac,GAMING AMP Extreme,1612.80,28
2054,Zotac,MINI,1797.60,18
2055,Asus,DUAL,1643.50,81
2056,Asus,DUAL Advanced,1747.30,55
2057,Asus,DUAL EVO,1747.30,94
2058,Asus,DUAL EVO OC,1660.80,37
2059,Asus,DUAL EVO OC V2,1660.80,44
2060,Asus,DUAL MINI OC,1851.10,43
2061,Asus,DUAL OC,1868.40,4
2062,Asus,STRIX GAMING,1695.40,45
2063,Asus,STRIX GAMING Advanced,1885.70,12
2064,Asus,STRIX GAMING OC,1851.10,70
2065,Asus,Turbo,1816.50,15
2066,Asus,Turbo EVO,1730.00,24
2067,EVGA,Black,1660.80,98
2068,EVGA,FTW3 ULTRA GAMING,1678.10,60
2069,EVGA,GAMING,1799.20,25
2070,EVGA,XC BLACK EDITION GAMING,1868.40,22
2071,EVGA,XC BLACK GAMING,1643.50,56
2072,EVGA,XC GAMING,1799.20,13
2073,EVGA,XC ULTRA GAMING,1643.50,80
2074,GALAX,EX,1868.40,68
2075,Gigabyte,AORUS,1660.80,18
2076,Gigabyte,GAMING 8G,1747.30,17
2077,Gigabyte,GAMING OC,1678.10,96
2078,Gigabyte,MINI ITX,1903.00,24
2079,Gigabyte,WINDFORCE,1903.00,87
2080,Gigabyte,WINDFORCE 2X,1885.70,52
2081,Gigabyte,XTREME,1678.10,77
2082,Inno3D,Twin X2,1903.00,31
2083,KFA2,EX,1781.90,19
2084,KFA2,OC,1660.80,31
2085,MSI,AERO,1885.70,92
2086,MSI,AERO ITX,1799.20,96
2087,MSI,ARMOR,1712.70,41
2088,MSI,ARMOR OCV1,1903.00,60
2089,MSI,DUKE,1660.80,41
2090,MSI,DUKE OC,1799.20,83
2091,MSI,GAMING,1643.50,36
2092,MSI,GAMING X,1868.40,2
2093,MSI,GAMING Z,1868.40,67
2094,MSI,TRI FROZR,1660.80,15
2095,MSI,VENTUS,1660.80,72
2096,MSI,VENTUS GP,1764.60,92
2097,NVIDIA,Founders Edition,1903.00,89
2098,Palit,Dual,1868.40,49
2099,Palit,JetStream,1816.50,59
2100,PNY,Blower,1851.10,47
2101,PNY,XLR8 Gaming Overclocked Edition,1678.10,60
2102,Zotac,AMP Extreme,1885.70,85
2103,Zotac,AMP Extreme Core,1730.00,87
2104,Zotac,GAMING AMP,1678.10,52
2105,Zotac,GAMING OC MINI,1730.00,18
2106,Zotac,ZT-T20700A-10P,1764.60,52
2107,Zotac,ZT-T20700E-10P,1781.90,59
2108,Asus,DUAL EVO,2027.65,79
2109,Asus,DUAL EVO Advanced,2008.70,32
2110,Asus,DUAL EVO OC,2008.70,92
2111,Asus,STRIX GAMING,2065.55,3
2112,Asus,STRIX GAMING Advanced,1895.00,92
2113,Asus,STRIX GAMING OC,1932.90,42
2114,Asus,Turbo EVO,1932.90,4
2115,EVGA,BLACK GAMING,1951.85,56
2116,EVGA,FTW3 GAMING,1951.85,100
2117,EVGA,FTW3 ULTRA GAMING,2084.50,77
2118,EVGA,FTW3 ULTRA+,2084.50,80
2119,EVGA,GAMING,1857.10,99
2120,EVGA,KO GAMING,1800.25,71
