id,brand,name,price,quantity,image
2907,Corsair,550D,839,21,https://images-na.ssl-images-amazon.com/images/I/31spdaej%2BBL.jpg
2908,Corsair,678C,669,57,https://cdna.pcpartpicker.com/static/forever/images/product/e8d551914abda328a4e808f264f02c1e.256p.jpg
2909,Corsair,Air 540,569,91,https://images-na.ssl-images-amazon.com/images/I/41YQ1Q9MESL.jpg
2910,Corsair,Carbide 175R RGB,299,40,https://cdna.pcpartpicker.com/static/forever/images/product/925ec5e458bd51c39f977597d242b009.256p.jpg
2911,Corsair,Crystal 460X RGB,689,78,https://cdna.pcpartpicker.com/static/forever/images/product/85d012b4951d2bd9abe3a8d999d9fa7d.256p.jpg
2912,Corsair,Crystal 570X RGB,889,17,https://cdna.pcpartpicker.com/static/forever/images/product/d37f36bea23d6efa61cc696257f7dd8b.256p.jpg
2913,Corsair,Crystal 570X RGB Mirror Black,879,26,https://cdna.pcpartpicker.com/static/forever/images/product/daed134a31818cbc37aef1a70712abc3.256p.jpg
2914,Corsair,Crystal 680X RGB,1039,56,https://cdna.pcpartpicker.com/static/forever/images/product/3a39a10c5fea218ee6db2ac78c520a83.256p.jpg
2915,Corsair,iCUE 220T RGB,499,39,https://cdna.pcpartpicker.com/static/forever/images/product/fa335af101aa114dcaa133df9352e46d.256p.jpg
2916,Corsair,iCUE 220T RGB Airflow,449,54,https://cdna.pcpartpicker.com/static/forever/images/product/e7ede7a1213f28e72b4f19f1afafc261.256p.jpg
2917,Corsair,iCUE 4000X RGB,529,16,https://cdna.pcpartpicker.com/static/forever/images/product/3a87f7d1da63e23f30f3e4bf032ae7c5.256p.jpg
2918,Corsair,iCUE 465X RGB,579,16,https://images-eu.ssl-images-amazon.com/images/I/41olehEgoVL.jpg
2919,Corsair,iCUE 5000X RGB,859,99,https://cdna.pcpartpicker.com/static/forever/images/product/b630d3e8642df2ed4e9a4278d55ee88a.256p.jpg
2920,Corsair,Obsidian 500D RGB SE,1189,2,https://images-eu.ssl-images-amazon.com/images/I/41tzS2mBxyL.jpg
2921,Corsair,SPEC OMEGA,539,99,https://cdna.pcpartpicker.com/static/forever/images/product/9e4bd51b5111e35d42ce99e6dd4390c3.256p.jpg
2922,Corsair,SPEC-01,239,25,https://cdna.pcpartpicker.com/static/forever/images/product/d6d58d8d77d90759b800ae04dac4e0fb.256p.jpg
2923,Corsair,SPEC-03,789,41,https://cdna.pcpartpicker.com/static/forever/images/product/1ee66c4bb31851a70ed7c3447f47b217.256p.jpg
2924,Corsair,SPEC-04,349,77,https://cdna.pcpartpicker.com/static/forever/images/product/c9311c06d9c91ae40c70c259af9245eb.256p.jpg
2925,Corsair,SPEC-05,259,63,https://images-eu.ssl-images-amazon.com/images/I/41SzVQx1SkL.jpg
2926,Corsair,SPEC-06,1129,80,https://cdna.pcpartpicker.com/static/forever/images/product/42abdf8f96f74d2e64cc03292874eca8.256p.jpg
2927,Corsair,SPEC-ALPHA,509,71,https://images-na.ssl-images-amazon.com/images/I/41WRrC2HWaL.jpg
2928,Corsair,SPEC-DELTA RGB,319,97,https://cdna.pcpartpicker.com/static/forever/images/product/b35ad4944a6207c0e307154137834af6.256p.jpg
2929,Corsair,SPEC-OMEGA RGB,729,35,https://cdna.pcpartpicker.com/static/forever/images/product/2c2fdd7955d600df94b93f2615d6dc6a.256p.jpg
2930,Fractal Design,Core 2300,239,15,https://cdna.pcpartpicker.com/static/forever/images/product/5e3dacdab51c3a7f331e27cc70ea5783.256p.jpg
2931,Fractal Design,Core 2500,289,96,https://cdna.pcpartpicker.com/static/forever/images/product/d943180ff1f760a363931866169d1889.256p.jpg
2932,Fractal Design,Define 7,759,16,https://cdna.pcpartpicker.com/static/forever/images/product/3a762b939da172d53746bc6e225be558.256p.jpg
2933,Fractal Design,Define 7 Compact,489,30,https://cdna.pcpartpicker.com/static/forever/images/product/f44d77d78e1123e959d387a7f73c2550.256p.jpg
2934,Fractal Design,Define 7 Dark,759,14,https://cdna.pcpartpicker.com/static/forever/images/product/7cd2c7cfed3027596ea1b662b881b361.256p.jpg
2935,Fractal Design,Define 7 Light,739,35,https://cdna.pcpartpicker.com/static/forever/images/product/1f91c911eda069378b96b772eae317f9.256p.jpg
2936,Fractal Design,Define C,399,11,https://cdna.pcpartpicker.com/static/forever/images/product/c6e7bc6e4d25b301eddd917a9668b7a6.256p.jpg
2937,Fractal Design,Define C TG,449,35,https://cdna.pcpartpicker.com/static/forever/images/product/601bd451779a1484fa3d3470400ce8f9.256p.jpg
2938,Fractal Design,Define R5,499,44,https://cdna.pcpartpicker.com/static/forever/images/product/cdacbff569bd9a02458fa57f2504c3e4.256p.jpg
2939,Fractal Design,Define R6,679,64,https://cdna.pcpartpicker.com/static/forever/images/product/650c0551be5d041a7fb4a3eacbddbd7d.256p.jpg
2940,Fractal Design,Define R6 USB-C,739,19,https://cdna.pcpartpicker.com/static/forever/images/product/58040cad58ca0079082cf722ce8fdad6.256p.jpg
2941,Fractal Design,Define R6 USB-C Blackout,729,4,https://cdna.pcpartpicker.com/static/forever/images/product/49cd896432a3dbfa6ba24e90558e9733.256p.jpg
2942,Fractal Design,Define S,429,79,https://cdna.pcpartpicker.com/static/forever/images/product/247023a904006490783d450008eb8492.256p.jpg
2943,Fractal Design,Define S2,699,100,https://cdna.pcpartpicker.com/static/forever/images/product/f733e2a823016d1584970c8d3d17ca43.256p.jpg
2944,Fractal Design,Define S2 Blackout,699,67,https://cdna.pcpartpicker.com/static/forever/images/product/34e2f305c8f2f89c0cb82055128a4182.256p.jpg
