id,speed,modules_count,module_capacity_gb,fw_latency_ns,cl,product_fk
608,4000,2,8,9.5,19,1187
609,3600,2,8,10,18,1188
610,3000,2,8,10,15,1189
611,2666,2,8,12.003,16,1190
612,3000,2,8,10,15,1191
613,4133,2,8,9.194,19,1192
614,3200,2,8,10,16,1193
615,3333,2,8,9.601,16,1194
616,3733,2,8,10.179,19,1195
617,3600,2,8,10,18,1196
618,4000,2,8,9.5,19,1197
619,3000,2,8,10.667,16,1198
620,2666,2,8,13.503,18,1199
621,2666,1,16,14.254,19,1200
622,3200,2,8,10,16,1201
623,3200,2,8,10,16,1202
624,3200,2,8,10,16,1203
625,2666,2,8,11.253,15,1204
626,3000,2,8,10.667,16,1205
627,3200,2,8,10,16,1206
628,2666,2,8,12.003,16,1207
629,2666,2,8,12.003,16,1208
630,3200,2,8,10,16,1209
631,3000,2,8,10,15,1210
632,4000,2,8,9,18,1211
633,3000,2,8,10.667,16,1212
634,3200,2,8,10,16,1213
635,2800,2,4,11.429,16,1214
636,3600,1,16,10,18,1215
637,3000,2,8,10.667,16,1216
638,2666,2,8,12.003,16,1217
639,2933,2,8,10.228,15,1218
640,3600,2,8,10,18,1219
641,3466,2,8,9.233,16,1220
642,2666,1,16,14.254,19,1221
643,3600,2,8,10,18,1222
644,3000,2,4,10,15,1223
645,2933,2,8,10.91,16,1224
646,3600,2,8,9.444,17,1225
647,3200,2,8,10,16,1226
648,3000,2,8,10,15,1227
649,2666,1,16,14.254,19,1228
650,3000,1,8,11.333,17,1229
651,3000,2,8,10,15,1230
652,3200,2,8,10,16,1231
653,3200,2,8,10,16,1232
654,2666,1,16,14.254,19,1233
655,3200,2,8,10,16,1234
656,3200,2,8,10,16,1235
657,3200,1,16,10,16,1236
658,3600,2,8,9.444,17,1237
659,4000,1,8,9.5,19,1238
660,3600,2,8,10.556,19,1239
661,2666,2,4,9.752,13,1240
662,3200,2,8,10,16,1241
663,3600,2,8,10,18,1242
664,3600,2,8,10,18,1243
665,3733,2,8,9.108,17,1244
666,3600,2,8,8.889,16,1245
667,3000,2,8,10,15,1246
668,3000,1,16,10,15,1247
669,3200,2,8,10,16,1248
670,2666,2,8,12.003,16,1249
671,2666,1,16,14.254,19,1250
672,3600,2,8,9.444,17,1251
673,3733,2,8,9.108,17,1252
674,3200,2,8,10,16,1253
675,3200,2,8,10,16,1254
676,3200,2,8,10,16,1255
